Question,Answer
What benefits does the company offer?,"Health insurance, bonuses, WFH, and wellness programs."
How can I check my payslip?,Log in to the HRMS portal and go to 'Payroll'.
How are tax deductions handled?,Taxes are deducted as per applicable laws and declarations.
Is there maternity leave?,"Yes, we offer 26 weeks of paid maternity leave."
Is work from home allowed?,Employees may work from home up to 2 days a week.
How is performance evaluated?,"Based on OKRs, quarterly reviews, and peer feedback."
What are the official work hours?,"Work hours are 9 AM to 6 PM, Monday to Friday."
How do I request leave?,Submit a request through the HRMS portal.
Are late shifts compensated?,"Yes, late shifts are compensated as per shift policy."
What documents do I need to join?,"ID proof, address proof, PAN card, and certificates."
What is the dress code?,"Smart casuals from Mon–Thu, casuals on Fridays."
Is salary credited during holidays?,Salary is credited regardless of holidays.
Can I work remotely full-time?,Full-time remote work is subject to management approval.
What is the exit process?,Submit resignation via HRMS and complete clearance.
What is the probation period?,Probation lasts 3 months from the joining date.
How many vacation days do I get?,Employees are entitled to 24 vacation days annually.
Can I resign during probation?,"Yes, with a 15-day notice."
What is the leave carry forward rule?,You can carry forward up to 5 unused leaves.
Are team events conducted?,"Yes, we organize quarterly team building events."
When will I receive my salary?,Salaries are paid on the last working day of the month.
Is there an exit interview?,"Yes, exit interviews are part of the offboarding process."
Can I take sick leave?,"Yes, up to 5 sick leaves are allowed per year."
Do interns get paid?,"Yes, interns receive a monthly stipend."
Can I refer someone for a job?,"Yes, use the referral portal and get a bonus if hired."
How do I request shift change?,Submit your request via the HRMS system with manager approval.
What is the company leave policy?,"Our company offers 24 annual paid leaves, 10 public holidays, and 5 sick leaves per year."
How can I apply for leave?,You can apply for leave via the HRMS portal under the 'Leave Request' section.
When is salary credited every month?,Salaries are credited on the last working day of each month.
What are the working hours?,"Our standard working hours are 9:00 AM to 6:00 PM, Monday to Friday."
Can I refer a friend for a job?,Yes! Use the internal referral portal. You’ll receive a bonus if your referral is hired.
What is the notice period?,The standard notice period is 2 months unless otherwise stated in your contract.
How can I reset my HRMS password?,You can reset your HRMS password by clicking 'Forgot Password' on the login screen and following the steps sent to your email.
Are lunch breaks paid?,Lunch breaks are unpaid and last for 1 hour between 12:00 PM and 2:00 PM.
What is the probation period duration?,The probation period is 3 months for new employees.
Are there any team outings or events?,"Yes, we organize quarterly team outings, annual parties, and wellness events."
Can I carry forward unused leaves?,Up to 5 unused leaves can be carried forward to the next calendar year.
Is there a transport facility?,"Yes, we provide shuttle services on selected routes. You can register via the transport portal."
What documents are required on joining?,"You need to bring your ID proof, address proof, PAN card, and educational certificates."
How do I access my payslip?,Payslips are available in the HRMS portal under the 'Payroll' section.
